ID,FECHA,ESTATUS,TRANSPORTADORA,NÚMERO GUIA,DEPARTAMENTO DESTINO,CIUDAD DESTINO,VALOR DE COMPRA EN PRODUCTOS,GANANCIA,TOTAL EN PRECIOS DE PROVEEDOR,PRECIO FLETE,COSTO DEVOLUCION FLETE,FECHA DE ÚLTIMO MOVIMIENTO,NOVEDAD,CATEGORÍAS
5015789,20-12-2025,ENTREGADO,STARKEN,260504297,VALPARAISO,SAN FELIPE,29900,15774,7700,6426,0,22-12-2025,RECHAZADO POR CLIENTE,"Cocina, Hogar, Camping"
5015708,20-12-2025,CANCELADO,BLUE,,BIO - BIO,HUALPEN,31485,,7500,8049.65,0,20-12-2025,,"Belleza, Bienestar"
5015609,20-12-2025,CANCELADO,BLUE,,COQUIMBO,LA SERENA,24900,,6300,8049.65,0,22-12-2025,,Salud
5015534,20-12-2025,CANCELADO,BLUE,,MAULE,TALCA,24900,,6300,7530.14,0,22-12-2025,,Salud
5015148,20-12-2025,GUIA_GENERADA,STARKEN,260567877,METROPOLITANA DE SANTIAGO,LA FLORIDA,28900,,9750,5474,0,22-12-2025,,Belleza
5014901,20-12-2025,EN REPARTO A DOMICILIO,STARKEN,260526092,LIBERTADOR GENERAL BERNARDO O`HIGGINS,RANCAGUA,43350,,15980,6426,0,23-12-2025,,"Moda, Belleza, Otro"
5014872,20-12-2025,EN DESTINO,STARKEN,260506029,MAULE,PARRAL,26990,,7200,7592.2,0,22-12-2025,,Salud
5014802,20-12-2025,ENTREGADO,STARKEN,260500659,VALPARAISO,VALPARAISO,29990,14564,9000,6426,0,23-12-2025,,Hogar
5014598,20-12-2025,ENTREGADO,STARKEN,260540098,VALPARAISO,CATEMU,26900,11817.6,7990,7092.4,0,23-12-2025,,Belleza
5014518,20-12-2025,NOVEDAD SOLUCIONADA,STARKEN,260491649,COQUIMBO,OVALLE,31485,,7500,6783,0,22-12-2025,RECHAZADO POR CLIENTE,"Belleza, Bienestar"
5014311,20-12-2025,CANCELADO,BLUE,,BIO - BIO,CURANILAHUE,24900,,6300,10510.81,0,21-12-2025,,Salud
5014280,20-12-2025,NADIE EN CASA,BLUE,2181210113,ATACAMA,EL SALVADOR,43350,,15980,10391.91,0,23-12-2025,,"Moda, Belleza, Otro"
5014161,20-12-2025,ENTREGADO,STARKEN,260474503,MAULE,PARRAL,20990,8397.8,5000,7592.2,0,22-12-2025,,"Cocina, Hogar"
