ID,FECHA,ESTATUS,TRANSPORTADORA,GUIA,DEPARTAMENTO,CIUDAD DE DESTINO,TOTAL DE LA ORDEN,PRECIO FLETE,DIAS DE TRANSITO
74042311,2026-05-07,EN REEXPEDICION,ENVIA,240051562311,NARIÑO,PASTO,94600,43319,1
74041397,2026-05-06,ENTREGADO,ENVIA,240051561397,RISARALDA,PEREIRA,96900,11507,1
74040177,2026-05-01,ENTREGADO,COORDINADORA,240051560177,MAGDALENA,SANTA MARTA,76200,12480,2
74040241,2026-05-10,ENTREGADO,ENVIA,240051560241,RISARALDA,PEREIRA,48500,17926,2
74041647,2026-05-10,ENTREGADO,ENVIA,240051561647,ANTIOQUIA,MEDELLIN,95300,19892,1
74041746,2026-04-28,DEVOLUCION,INTERRAPIDISIMO,240051561746,TOLIMA,IBAGUE,53200,16974,6
74041403,2026-05-01,ENTREGADO,INTERRAPIDISIMO,240051561403,MAGDALENA,SANTA MARTA,73500,13005,0
74041832,2026-05-05,DEVOLUCION,ENVIA,240051561832,HUILA,NEIVA,57200,15364,11
74041915,2026-05-09,DEVOLUCION,INTERRAPIDISIMO,240051561915,CUNDINAMARCA,BOGOTA,71800,13880,9
74040062,2026-05-06,ENTREGADO,TCC,240051560062,CUNDINAMARCA,BOGOTA,91400,14955,0
74042100,2026-05-01,INTENTO DE ENTREGA,ENVIA,240051562100,SANTANDER,BUCARAMANGA,52000,12448,1
74041238,2026-05-08,ENTREGADO,TCC,240051561238,VALLE DEL CAUCA,CALI,55100,17576,2
74041291,2026-05-10,ENTREGADO,SERVIENTREGA,240051561291,MAGDALENA,SANTA MARTA,84900,14560,1
74040111,2026-05-06,ENTREGADO,ENVIA,240051560111,ATLANTICO,BARRANQUILLA,87000,13210,0
74042292,2026-05-06,EN BODEGA ORIGEN,COORDINADORA,240051562292,RISARALDA,PEREIRA,95700,23910,2
74040792,2026-05-05,ENTREGADO,TCC,240051560792,VALLE DEL CAUCA,CALI,72100,17127,0
74040639,2026-05-05,ENTREGADO,ENVIA,240051560639,TOLIMA,IBAGUE,99500,12430,2
74042313,2026-05-09,EN PROCESAMIENTO,SERVIENTREGA,240051562313,NARIÑO,PASTO,81000,16770,1
74042316,2026-05-10,CITA PROGRAMADA,ENVIA,240051562316,ATLANTICO,BARRANQUILLA,60200,39114,3
74041820,2026-05-04,DEVOLUCION,SERVIENTREGA,240051561820,BOLIVAR,CARTAGENA,87800,18551,10
74041480,2026-05-07,ENTREGADO,COORDINADORA,240051561480,SANTANDER,BUCARAMANGA,90400,21735,0
